Level id sid word tag idx in_coca-n spell_error document_id source_id subject score dalechall flesch fog kincaid rgl level1 level1pct level2 level2pct level3 level3pct level4 level4pct level5 level5pct level6 level6pct level7 level7pct level567 level567pct tokennum typenum typedivtoken lemmanum stddev sentnum avgsentlen linksentnum linksentpct spellerr ngrams2_appear ngrams2_total ngrams2_appear_ratio ngrams3_appear ngrams3_total ngrams3_appear_ratio ngrams4_appear ngrams4_total ngrams4_appear_ratio ngrams5_appear ngrams5_total ngrams5_appear_ratio AWLratio 
Level=I id=466 sid=466 word=Japaness tag=NNP idx=11 in_coca-n=0 spell_error= document_id=43 source_id=0043 subject=IW-0803 score=C dalechall=5.46831 flesch=68.5905 fog=9.38118 kincaid=6.58031 rgl=5 level1=43 level1pct=82.6923 level2=3 level2pct=5.76923 level3=1 level3pct=1.92308 level4=1 level4pct=1.92308 level5=0 level5pct=0 level6=0 level6pct=0 level7=7 level7pct=13.4615 level567=7 level567pct=13.4615 tokennum=93 typenum=56 typedivtoken=0.602151 lemmanum=52 stddev=7.17526 sentnum=8 avgsentlen=11.625 linksentnum=3 linksentpct=0.375 spellerr=1 ngrams2_appear=69 ngrams2_total=85 ngrams2_appear_ratio=0.811765 ngrams3_appear=54 ngrams3_total=77 ngrams3_appear_ratio=0.701299 ngrams4_appear=22 ngrams4_total=69 ngrams4_appear_ratio=0.318841 ngrams5_appear=4 ngrams5_total=62 ngrams5_appear_ratio=0.0645161 AWLratio=0.0178571 
Level=I id=468 sid=468 word=Japaness tag=NNP idx=8 in_coca-n=0 spell_error= document_id=43 source_id=0043 subject=IW-0803 score=C dalechall=5.46831 flesch=68.5905 fog=9.38118 kincaid=6.58031 rgl=5 level1=43 level1pct=82.6923 level2=3 level2pct=5.76923 level3=1 level3pct=1.92308 level4=1 level4pct=1.92308 level5=0 level5pct=0 level6=0 level6pct=0 level7=7 level7pct=13.4615 level567=7 level567pct=13.4615 tokennum=93 typenum=56 typedivtoken=0.602151 lemmanum=52 stddev=7.17526 sentnum=8 avgsentlen=11.625 linksentnum=3 linksentpct=0.375 spellerr=1 ngrams2_appear=69 ngrams2_total=85 ngrams2_appear_ratio=0.811765 ngrams3_appear=54 ngrams3_total=77 ngrams3_appear_ratio=0.701299 ngrams4_appear=22 ngrams4_total=69 ngrams4_appear_ratio=0.318841 ngrams5_appear=4 ngrams5_total=62 ngrams5_appear_ratio=0.0645161 AWLratio=0.0178571 
Level=I id=473 sid=473 word=Japaness tag=NNP idx=7 in_coca-n=0 spell_error= document_id=43 source_id=0043 subject=IW-0803 score=C dalechall=5.46831 flesch=68.5905 fog=9.38118 kincaid=6.58031 rgl=5 level1=43 level1pct=82.6923 level2=3 level2pct=5.76923 level3=1 level3pct=1.92308 level4=1 level4pct=1.92308 level5=0 level5pct=0 level6=0 level6pct=0 level7=7 level7pct=13.4615 level567=7 level567pct=13.4615 tokennum=93 typenum=56 typedivtoken=0.602151 lemmanum=52 stddev=7.17526 sentnum=8 avgsentlen=11.625 linksentnum=3 linksentpct=0.375 spellerr=1 ngrams2_appear=69 ngrams2_total=85 ngrams2_appear_ratio=0.811765 ngrams3_appear=54 ngrams3_total=77 ngrams3_appear_ratio=0.701299 ngrams4_appear=22 ngrams4_total=69 ngrams4_appear_ratio=0.318841 ngrams5_appear=4 ngrams5_total=62 ngrams5_appear_ratio=0.0645161 AWLratio=0.0178571 
Level=I id=1520 sid=1520 word=Japaness tag=NNP idx=23 in_coca-n=0 spell_error= document_id=144 source_id=0144 subject=IW-0803 score=B dalechall=7.16495 flesch=17.5731 fog=24.8308 kincaid=20.4969 rgl=9 level1=24 level1pct=77.4194 level2=2 level2pct=6.45161 level3=0 level3pct=0 level4=1 level4pct=3.22581 level5=0 level5pct=0 level6=0 level6pct=0 level7=6 level7pct=19.3548 level567=6 level567pct=19.3548 tokennum=39 typenum=34 typedivtoken=0.871795 lemmanum=31 stddev=4.5 sentnum=2 avgsentlen=19.5 linksentnum=1 linksentpct=0.5 spellerr=0 ngrams2_appear=32 ngrams2_total=37 ngrams2_appear_ratio=0.864865 ngrams3_appear=26 ngrams3_total=35 ngrams3_appear_ratio=0.742857 ngrams4_appear=15 ngrams4_total=33 ngrams4_appear_ratio=0.454545 ngrams5_appear=6 ngrams5_total=31 ngrams5_appear_ratio=0.193548 AWLratio=0.0294118 
Level=I id=1568 sid=1568 word=Japaness tag=NNP idx=3 in_coca-n=0 spell_error= document_id=151 source_id=0151 subject=IW-0803 score=C dalechall=5.34847 flesch=74.0991 fog=7.73075 kincaid=4.93399 rgl=5 level1=37 level1pct=77.0833 level2=4 level2pct=8.33333 level3=1 level3pct=2.08333 level4=0 level4pct=0 level5=1 level5pct=2.08333 level6=0 level6pct=0 level7=6 level7pct=12.5 level567=7 level567pct=14.5833 tokennum=90 typenum=52 typedivtoken=0.577778 lemmanum=48 stddev=3.11753 sentnum=11 avgsentlen=8.09091 linksentnum=4 linksentpct=0.363636 spellerr=1 ngrams2_appear=65 ngrams2_total=78 ngrams2_appear_ratio=0.833333 ngrams3_appear=34 ngrams3_total=67 ngrams3_appear_ratio=0.507463 ngrams4_appear=8 ngrams4_total=56 ngrams4_appear_ratio=0.142857 ngrams5_appear=2 ngrams5_total=45 ngrams5_appear_ratio=0.0444444 AWLratio=0 
Level=I id=1576 sid=1576 word=Japaness tag=NNP idx=9 in_coca-n=0 spell_error= document_id=151 source_id=0151 subject=IW-0803 score=C dalechall=5.34847 flesch=74.0991 fog=7.73075 kincaid=4.93399 rgl=5 level1=37 level1pct=77.0833 level2=4 level2pct=8.33333 level3=1 level3pct=2.08333 level4=0 level4pct=0 level5=1 level5pct=2.08333 level6=0 level6pct=0 level7=6 level7pct=12.5 level567=7 level567pct=14.5833 tokennum=90 typenum=52 typedivtoken=0.577778 lemmanum=48 stddev=3.11753 sentnum=11 avgsentlen=8.09091 linksentnum=4 linksentpct=0.363636 spellerr=1 ngrams2_appear=65 ngrams2_total=78 ngrams2_appear_ratio=0.833333 ngrams3_appear=34 ngrams3_total=67 ngrams3_appear_ratio=0.507463 ngrams4_appear=8 ngrams4_total=56 ngrams4_appear_ratio=0.142857 ngrams5_appear=2 ngrams5_total=45 ngrams5_appear_ratio=0.0444444 AWLratio=0 
Level=I id=1577 sid=1577 word=Japaness tag=JJ idx=0 in_coca-n=0 spell_error= document_id=151 source_id=0151 subject=IW-0803 score=C dalechall=5.34847 flesch=74.0991 fog=7.73075 kincaid=4.93399 rgl=5 level1=37 level1pct=77.0833 level2=4 level2pct=8.33333 level3=1 level3pct=2.08333 level4=0 level4pct=0 level5=1 level5pct=2.08333 level6=0 level6pct=0 level7=6 level7pct=12.5 level567=7 level567pct=14.5833 tokennum=90 typenum=52 typedivtoken=0.577778 lemmanum=48 stddev=3.11753 sentnum=11 avgsentlen=8.09091 linksentnum=4 linksentpct=0.363636 spellerr=1 ngrams2_appear=65 ngrams2_total=78 ngrams2_appear_ratio=0.833333 ngrams3_appear=34 ngrams3_total=67 ngrams3_appear_ratio=0.507463 ngrams4_appear=8 ngrams4_total=56 ngrams4_appear_ratio=0.142857 ngrams5_appear=2 ngrams5_total=45 ngrams5_appear_ratio=0.0444444 AWLratio=0 
Level=I id=2275 sid=2275 word=Japaness tag=NNS idx=0 in_coca-n=0 spell_error= document_id=220 source_id=0220 subject=IW-0803 score=B dalechall=6.45893 flesch=70.575 fog=10.4667 kincaid=6.39667 rgl=7 level1=50 level1pct=78.125 level2=1 level2pct=1.5625 level3=5 level3pct=7.8125 level4=2 level4pct=3.125 level5=0 level5pct=0 level6=2 level6pct=3.125 level7=8 level7pct=12.5 level567=10 level567pct=15.625 tokennum=120 typenum=74 typedivtoken=0.616667 lemmanum=64 stddev=4.92161 sentnum=9 avgsentlen=13.3333 linksentnum=4 linksentpct=0.444444 spellerr=1 ngrams2_appear=88 ngrams2_total=110 ngrams2_appear_ratio=0.8 ngrams3_appear=54 ngrams3_total=101 ngrams3_appear_ratio=0.534653 ngrams4_appear=25 ngrams4_total=92 ngrams4_appear_ratio=0.271739 ngrams5_appear=7 ngrams5_total=83 ngrams5_appear_ratio=0.0843373 AWLratio=0.0540541 
Level=I id=2277 sid=2277 word=Japaness tag=JJ idx=0 in_coca-n=0 spell_error= document_id=220 source_id=0220 subject=IW-0803 score=B dalechall=6.45893 flesch=70.575 fog=10.4667 kincaid=6.39667 rgl=7 level1=50 level1pct=78.125 level2=1 level2pct=1.5625 level3=5 level3pct=7.8125 level4=2 level4pct=3.125 level5=0 level5pct=0 level6=2 level6pct=3.125 level7=8 level7pct=12.5 level567=10 level567pct=15.625 tokennum=120 typenum=74 typedivtoken=0.616667 lemmanum=64 stddev=4.92161 sentnum=9 avgsentlen=13.3333 linksentnum=4 linksentpct=0.444444 spellerr=1 ngrams2_appear=88 ngrams2_total=110 ngrams2_appear_ratio=0.8 ngrams3_appear=54 ngrams3_total=101 ngrams3_appear_ratio=0.534653 ngrams4_appear=25 ngrams4_total=92 ngrams4_appear_ratio=0.271739 ngrams5_appear=7 ngrams5_total=83 ngrams5_appear_ratio=0.0843373 AWLratio=0.0540541 
Level=I id=2277 sid=2277 word=Japaness tag=NNP idx=3 in_coca-n=0 spell_error= document_id=220 source_id=0220 subject=IW-0803 score=B dalechall=6.45893 flesch=70.575 fog=10.4667 kincaid=6.39667 rgl=7 level1=50 level1pct=78.125 level2=1 level2pct=1.5625 level3=5 level3pct=7.8125 level4=2 level4pct=3.125 level5=0 level5pct=0 level6=2 level6pct=3.125 level7=8 level7pct=12.5 level567=10 level567pct=15.625 tokennum=120 typenum=74 typedivtoken=0.616667 lemmanum=64 stddev=4.92161 sentnum=9 avgsentlen=13.3333 linksentnum=4 linksentpct=0.444444 spellerr=1 ngrams2_appear=88 ngrams2_total=110 ngrams2_appear_ratio=0.8 ngrams3_appear=54 ngrams3_total=101 ngrams3_appear_ratio=0.534653 ngrams4_appear=25 ngrams4_total=92 ngrams4_appear_ratio=0.271739 ngrams5_appear=7 ngrams5_total=83 ngrams5_appear_ratio=0.0843373 AWLratio=0.0540541 
